tag_id,ring_number,scientific_name,manufacturer,model,firwmare,weight,attachment_type,readout_method,tag_comments
16IQ,,,,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,,,
16IT,,,,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,,,
16JB,,,,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,,,
16JL,,,,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,,,
20TJ,,,,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,,,
20TZ,,,,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,,,
24DK,,,,GDL3pam_V2.3,GDL3pam_V2.5.0,,,,
24EA,,,,GDL3pam_V2.3,GDL3pam_V2.5.0,,,,
24EP,,,,GDL3pam_V2.3,GDL3pam_V2.5.0,,,,
24IS,,,,GDL3pam_V2.3,GDL3pam_V2.5.0,,,,
24TJ,,,,GDL3pam_V2.3,GDL3pam_V2.5.1,,,,
26HS,,,,GDL3pam_V2.3,GDL3pam_V2.5.1,,,,
26IL,,,,GDL3pam_V2.3,GDL3pam_V2.5.1,,,,
26IM,,,,GDL3pam_V2.3,GDL3pam_V2.5.1,,,,
